TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS,RSI,SlowK,SlowD,PPO,PVO,ROC_10,ROC_60,StochOscillator_SlowK,StochOscillator_SlowD,TSI,UO,WilliamsR,MACD_Line,MACD_Signal,MACD_Histogram,EMV,Force Index,MFI,NVI,Upper Bollinger Band,Lower Bollinger Band,Upper Donchian Channel,Lower Donchian Channel,Middle Donchian Channel,Upper Keltner Channel,Lower Keltner Channel,Middle Keltner Channel,Ulcer Index,Aroon Up,Aroon Down,CCI,KST,Mass Index,%D,%K,TRIX,Vortex Indicator,Gunluk_Degisim_Orani,Etiket
2016-03-31,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.35,2.35,2.35,2.43,2.42,2.42,3.419,2.41,2.42,2.389,1110031.94,464697.0,447.0,0.0,7052.35,3001,7.0,35302.96,14588,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,83.5123387137847,75.99405425492371,67.72044380740031,3.725875625446714,2.5254027990430843,13.6150234741784,19.8019801980198,82.94117647058819,80.56022408963592,47.604408594339795,250.97062579821215,-8.823529411764772,0.0742113550868595,0.053842923901688565,0.020368431185170933,416261.9774999969,37175.76000000003,96.36717670239057,1180.4878048780488,2.315373630980096,2.0156263690199046,2.665000000000001,1.8050000000000006,2.2350000000000003,2.288357142857143,2.0426428571428574,2.1655,11.688216816421965,2.0,15.0,246.9904524699038,18.655248976954528,0.544641685088364,82.94117647058819,91.17647058823522,0.591889835959052,0.13131313131313208,3.4188034188034218,0
2016-04-01,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.42,2.42,2.39,2.48,2.41,2.41,-0.413,2.41,2.43,2.436,2560113.76,1051104.0,636.0,0.0,747.78,309,3.0,46997.41,19501,8,15665.0,6500,4,2.45,2.48,2.469,18520.0,7500,7,0.0,0.0,0.0,0.0,0,0,81.29764823811904,72.57525083612033,70.74817292208589,4.086097806161637,16.760780165924196,11.059907834101402,20.500000000000007,79.96820349761525,80.15279985868223,34.93049959180989,226.6335490612468,-18.91891891891887,0.08136575081973119,0.05934748928529709,0.0220182615344341,1280056.88,-10511.039999999775,90.1569707179854,1175.609756097561,2.365716028008904,1.9982839719910959,2.665000000000001,1.8050000000000006,2.2350000000000003,2.312,2.052,2.182,0.17075336384126039,3.0,15.0,215.02789400278925,20.013231618862708,0.571713348070691,79.96820349761524,81.08108108108112,0.645584635373913,0.14285714285714357,-0.41322314049585895,0
2016-04-04,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.41,2.41,2.4,2.49,2.46,2.46,2.075,2.45,2.46,2.446,958688.86,391949.0,354.0,0.0,7239.64,3004,5.0,25830.0,10500,9,24.6,10,1,2.43,2.46,2.444,22954.32,9392,15,0.0,0.0,0.0,0.0,0,0,83.63457154280964,82.67781493868443,77.0823733432428,4.483345062162755,19.088545226663676,11.31221719457014,20.58823529411764,88.12093827573703,83.6767727479802,36.87764926561407,243.14581257736316,-7.894736842105321,0.09003240558685599,0.06548447254560887,0.024547933041247125,106520.98444444654,19597.44999999993,92.68711800981156,1200.0,2.4018689931342068,1.9951310068657933,2.71,1.79,2.25,2.3327857142857145,2.064214285714286,2.1985,2.7320538214602874,2.0,15.0,186.666666666667,21.349594562235918,0.6013706784565527,88.120938275737,92.10526315789468,0.7111472857809151,0.15454545454545526,2.0746887966804906,0
2016-04-05,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.46,0.0,2.42,2.49,2.42,2.42,-1.626,2.42,2.43,2.438,218579.82,89658.0,166.0,0.0,0.0,0,0.0,24200.0,10000,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,75.50616660869015,76.41958041958036,77.22421539812836,4.77272727272727,15.306959065498537,9.999999999999986,18.627450980392158,84.92176386913228,84.3369685474949,15.419708310265154,198.70967741935462,-18.421052631579006,0.09260562620968171,0.07090870327842344,0.021696922931258272,31225.68857142778,-3586.3200000000033,90.84904034856521,1180.4878048780488,2.443948553469483,1.9910514465305178,2.7249999999999996,1.7849999999999993,2.255,2.3560714285714286,2.078928571428572,2.2175000000000002,2.6439288783131785,2.0,15.0,141.99683042789283,22.710459392332286,0.6290965427652421,84.92176386913228,81.578947368421,0.7193027877915233,0.14285714285714338,-1.6260162601626031,0
2016-04-06,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.44,2.44,2.43,2.46,2.45,2.45,1.24,2.45,2.46,2.442,300350.17,123017.0,131.0,0.0,61.0,25,7.0,4591.3,1874,11,30830.8,12584,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,77.28896551095853,75.87012987012979,78.32250840946485,5.057351407716342,25.90953753784589,11.363636363636353,19.512195121951237,87.62446657183494,86.88905623890146,18.120335356921142,228.731182795699,-10.810810810810818,0.09595950987474833,0.07591886459768842,0.020040645277059912,-100116.72333333184,3690.5100000000307,90.96872014076908,1195.1219512195123,2.467469579220934,2.002530420779067,2.705000000000001,1.8450000000000006,2.2750000000000004,2.3792857142857144,2.090714285714286,2.2350000000000003,0.16524555489456633,3.0,15.0,116.07445008460215,24.14336413924809,0.6452772342121935,87.62446657183496,89.18918918918918,0.7344542634665086,0.13043478260869631,1.2396694214876136,0
2016-04-07,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.45,2.45,2.45,2.55,2.45,2.45,0.0,2.45,2.48,2.486,854862.32,343893.0,667.0,0.0,66.15,27,7.0,2450.0,1000,9,2124.15,867,1,2.49,2.52,2.514,1181.4,470,7,0.0,0.0,0.0,0.0,0,0,77.28896551095852,59.03679653679652,70.44216894216888,5.303291896869208,29.0431602638587,9.375,21.287128712871283,81.70903697219485,84.7517558043874,9.683168545712478,180.62246963562788,-25.64102564102557,0.09749364083883494,0.08023381984591772,0.017259820992917216,470174.27599999926,0.0,90.08874240597315,1195.1219512195123,2.4972024630261274,2.003797536973872,2.6849999999999996,1.9049999999999994,2.295,2.396214285714285,2.1047857142857143,2.2504999999999997,0.16524555489456633,4.0,15.0,121.05997210599719,25.687811780106834,0.6662217873697548,81.70903697219487,74.35897435897442,0.7331273059952185,0.17355371900826486,0.0,0
2016-04-08,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.45,2.45,2.45,2.51,2.46,2.46,0.408,2.46,2.49,2.476,834272.23,336918.0,293.0,0.0,975.1,398,4.0,19680.0,8000,19,37738.86,15341,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,77.91051999393507,49.64285714285719,61.516594516594495,5.601303825699065,26.451416522341344,9.821428571428559,22.38805970149256,79.74127974127975,83.02492776176989,6.184368923774912,159.97706468819018,-24.32432432432431,0.09838227745355965,0.0838635113674461,0.01451876608611355,-278090.7433333354,3369.179999999928,89.56335363932892,1200.0,2.520222023283749,2.014777976716252,2.7700000000000005,1.8900000000000006,2.33,2.4189285714285718,2.1160714285714293,2.2675000000000005,0.0,2.0,15.0,96.33173843700166,27.37786228286744,0.6849774298958037,79.74127974127975,75.67567567567569,0.7265212326952178,0.1111111111111115,0.40816326530611374,0
2016-04-11,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.47,2.47,2.47,2.52,2.51,2.51,2.033,2.5,2.51,2.498,481802.08,192896.0,174.0,0.0,1321.45,535,6.0,62.75,25,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,80.74765845778589,48.91025641025644,52.52997002997004,5.82425068119887,23.46594452614162,12.05357142857142,26.76767676767675,79.74127974127975,80.39719881825148,17.657803712977792,158.10800695682806,-10.81081081081083,0.10194594115508426,0.08747999732497373,0.01446594383011053,144540.6240000017,9644.799999999967,91.5762527740831,1224.390243902439,2.541959605160841,2.0260403948391597,2.7700000000000005,1.8900000000000006,2.33,2.434,2.1340000000000003,2.2840000000000003,4.131138872364303,3.0,15.0,102.94595221526309,29.23533152648828,0.6979819439166429,79.74127974127975,89.18918918918916,0.7439907156084397,0.148760330578513,2.0325203252032447,0
2016-04-12,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.52,2.52,2.46,2.52,2.48,2.48,-1.195,2.48,2.49,2.489,203712.93,81857.0,150.0,0.0,161.28,64,3.0,7440.0,3000,3,1240.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,74.55986135726816,50.29914529914529,49.617419617419635,5.9878213802435365,19.206605682361555,8.771929824561408,23.383084577114445,81.80680680680682,80.42978876312215,-3.421467257522337,136.38238573021178,-19.444444444444407,0.10118304586533755,0.09022060703304649,0.01096243883229106,-16976.07749999962,-2455.709999999984,90.2519081663319,1209.7560975609756,2.569051043776823,2.0369489562231777,2.7700000000000005,1.8900000000000006,2.33,2.4544285714285716,2.151571428571429,2.3030000000000004,1.4285487531943752,4.0,15.0,82.14542836573062,31.26969579689459,0.6843855551333142,81.80680680680682,80.55555555555559,0.7234037001414259,0.12711864406779735,-1.1952191235059684,0
2016-04-13,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.49,2.49,2.49,2.54,2.53,2.53,2.016,2.52,2.53,2.51,737017.18,293631.0,281.0,0.0,74.7,30,2.0,63.25,25,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,77.63589501108125,63.63247863247856,54.280626780626754,6.224124426541309,21.029872868859705,8.119658119658112,27.777777777777768,87.8947128947129,83.14759981426653,11.802763450562342,147.83922473135584,-6.060606060606073,0.1034208567253323,0.09286065697150366,0.010560199753828645,368508.59,14681.549999999948,90.37945684176229,1234.1463414634145,2.5824516995033453,2.0605483004966545,2.7700000000000005,1.8900000000000006,2.33,2.4743571428571425,2.1686428571428573,2.3215,0.6349105569752874,5.0,15.0,101.46549427124972,33.477474677460336,0.6675084441066513,87.8947128947129,93.93939393939392,0.7299520381121478,0.1404958677685961,2.0161290322580574,0
2016-04-14,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.53,2.53,2.5,2.56,2.5,2.5,-1.186,2.5,2.52,2.528,944861.97,373767.0,250.0,0.0,63.25,25,5.0,2500.0,1000,2,14932.5,5973,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,72.00989510131674,55.70707070707061,56.546231546231475,6.381381381381325,28.188305739401297,3.3057851239669533,27.55102040816326,85.61596355714003,85.10582775288663,-10.605689281933435,151.48503705314022,-17.647058823529434,0.10160237968714814,0.09460900151463256,0.00699337817251558,236215.4925000017,-11213.009999999927,84.84984910185456,1219.5121951219512,2.600709347175144,2.0832906528248554,2.7700000000000005,1.8900000000000006,2.33,2.494857142857142,2.189142857142857,2.3419999999999996,1.4060522738989647,6.0,14.0,96.11562782294469,35.84939077923157,0.6480067552853209,85.61596355714003,82.35294117647057,0.7017525584891722,0.09649122807017688,-1.1857707509881346,0
2016-04-15,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.52,2.52,2.5,2.58,2.56,2.56,2.4,2.54,2.56,2.547,728060.25,285831.0,205.0,0.0,2532.6,1005,5.0,124858.88,48773,16,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,75.78881647316861,69.59595959595951,62.97850297850289,6.377987525528446,9.38335948476808,6.224066390041494,28.000000000000004,90.136660724896,87.88244572558301,11.37423980279793,182.80548868776265,-5.882352941176478,0.10380610987447225,0.09644842318660049,0.007357686687871762,91007.53124999798,17149.860000000015,86.14622540614091,1248.780487804878,2.608054353415036,2.112945646584963,2.7799999999999994,1.8999999999999995,2.34,2.5133571428571426,2.2076428571428566,2.3604999999999996,1.4060522738990067,2.0,15.0,120.09803921568643,38.35488212337334,0.6304054042282565,90.136660724896,94.11764705882352,0.7092962513646912,0.14876033057851357,2.400000000000002,0
2016-04-18,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.57,2.57,2.55,2.63,2.6,2.6,1.563,2.59,2.6,2.589,479653.96,185282.0,310.0,0.0,2318.14,902,4.0,135.2,52,11,1050.4,404,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,77.92822631026532,70.38027332144978,65.22776787482663,6.197283382626735,1.3068480252190096,5.691056910569103,27.450980392156854,89.37908496732028,88.37723641645215,17.10418142867974,220.7595076447537,-8.333333333333282,0.1075405866893333,0.09866685588714705,0.008873730802186258,299783.7249999987,7411.280000000007,86.0010013949046,1268.2926829268292,2.625806941788833,2.134193058211167,2.79,1.9500000000000002,2.37,2.537142857142857,2.222857142857143,2.38,2.441406250000004,2.0,15.0,179.48717948717893,40.947890407766984,0.618324323382605,89.37908496732025,91.66666666666671,0.7297177027790887,0.15200000000000097,1.5625000000000013,0
2016-04-19,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.59,2.59,2.56,2.66,2.61,2.61,0.385,2.6,2.61,2.608,462437.8,177322.0,224.0,0.0,2590.0,1000,2.0,848.25,325,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,78.44112173025492,78.75816993464049,72.91146761734991,6.072709488099066,-21.771342240639207,7.851239669421495,27.941176470588225,89.88509382247521,89.80027983823054,12.056977107553998,205.88172043010752,-16.129032258064598,0.11003864588400392,0.10094121388651842,0.0090974319974855,92487.56000000205,1773.2199999999623,80.48211689481414,1273.170731707317,2.650349084427061,2.148650915572939,2.8550000000000004,1.955000000000001,2.4050000000000002,2.5595000000000003,2.2395,2.3995,0.14792899408283394,2.0,15.0,192.55499153976317,43.57393886746201,0.622659458706084,89.88509382247521,83.8709677419354,0.7391245142166041,0.035714285714286524,0.3846153846153764,0
2016-04-20,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.62,0.0,2.56,2.64,2.61,2.61,0.0,2.61,2.62,2.61,172936.58,66263.0,109.0,0.0,0.0,0,0.0,9354.24,3584,4,7830.0,3000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,78.44112173025492,73.89705882352932,74.34516735987319,5.740620957309123,-29.93480629698322,6.530612244897949,28.57142857142858,85.67303863002785,88.31240580660783,4.052907314157297,141.6945304437565,-18.518518518518615,0.11074181310622144,0.10290133373045902,0.007840479375762419,-21617.07250000048,0.0,73.5772348826316,1273.170731707317,2.6692092758263524,2.1707907241736484,2.8999999999999995,1.9399999999999995,2.42,2.568571428571429,2.271428571428572,2.4200000000000004,0.0,2.0,15.0,154.88793514544616,46.174682675377795,0.622127566964867,85.67303863002782,81.48148148148138,0.733404339053214,-0.020408163265305226,0.0,0
2016-04-21,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.61,2.61,2.53,2.61,2.56,2.56,-1.916,2.56,2.58,2.577,465485.28,180605.0,281.0,0.0,5220.0,2000,2.0,7168.0,2800,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,69.12630526080596,58.94607843137243,70.53376906318074,5.480625133804261,-28.609452377590124,4.489795918367334,25.49019607843137,75.63030358729277,83.72947867993197,-33.5377828277169,113.0762221269297,-38.46153846153847,0.10604210864378594,0.10352948871312441,0.0025126199306615277,-174556.9800000013,-9030.249999999967,74.62886742621897,1248.780487804878,2.680804631227685,2.2001953687723153,2.8949999999999996,1.9549999999999992,2.425,2.5876428571428574,2.293357142857143,2.4405,3.6699402533726495,3.0,15.0,79.26330150068202,48.68441454446094,0.6257020535718937,75.63030358729277,61.53846153846154,0.6834831178266683,-0.17647058823529346,-1.9157088122605297,0
2016-04-22,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.58,2.58,2.56,2.64,2.6,2.6,1.563,2.59,2.6,2.582,394656.37,152836.0,438.0,0.0,64.5,25,5.0,4277.0,1645,15,1300.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,71.99174469697711,53.36538461538458,62.06950729009543,5.208499335989319,-28.037991469830875,5.691056910569103,27.450980392156854,72.67331433998098,77.99221885243391,-10.158963657211869,103.82916053019167,-25.0,0.1043424301202962,0.10369207699455876,0.0006503531257374406,147996.1387500011,6113.440000000005,70.83272996532484,1268.2926829268292,2.682799754633911,2.230200245366089,2.880000000000001,2.000000000000001,2.4400000000000004,2.602214285714286,2.310785714285714,2.4565,0.14679761013490075,4.0,15.0,113.95730706075476,51.03501939655742,0.634561642857515,72.67331433998096,75.0,0.660539983530706,-0.13793103448275765,1.5625000000000013,0
2016-04-25,SASA,SASA POLYESTER,N,MSPOT,MSPOTEQT,MSPOTEQTSASA,0,0,0,0,0,2.6,2.6,2.59,2.62,2.61,2.61,0.385,2.6,2.61,2.61,419821.17,160862.0,147.0,0.0,13.0,5,1.0,13386.69,5129,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,72.6745465598095,50.96153846153843,54.42433383609847,5.024529197657809,-30.814645749252417,3.984063745019917,28.57142857142858,71.59977703455961,73.3011316539445,-10.655991470194667,148.7021317981846,-21.739130434782727,0.10261940643243017,0.10347754288213304,-0.0008581364497028676,69970.19499999793,1608.6199999999658,74.2471049085544,1273.170731707317,2.6850106573124153,2.2639893426875846,2.880000000000001,2.000000000000001,2.4400000000000004,2.618785714285714,2.330214285714286,2.4745,0.0,5.0,15.0,104.33604336043311,53.16606322074704,0.6356493142860121,71.59977703455961,78.26086956521728,0.6385388916413313,-0.12643678160919472,0.3846153846153764,0
